idFallas,descripcion,tipo,estado,gravedad,articulo
1,"VALIDATION ID NOT CONFIGURED",LOGICA,1,2,
2,"MACHINE DISABLED",LOGICA,1,1,
3,"FALLA DE SISTEMA OPERATIVO",LOGICA,1,1,
4,"EL VLT NO RESPONDE",LOGICA,1,2,
5,"TICKET SIN INFORMACION",LOGICA,1,2,
6,COMUNICACIÓN,LOGICA,1,2,
7,RAM0,LOGICA,1,1,
8,"CONFIGURACION DE PUERTOS",LOGICA,1,2,
9,S.O,LOGICA,1,1,
10,"SE REINICIA",LOGICA,1,2,
11,DRIVER,LOGICA,1,3,
12,"ERROR DE SISTEMA",LOGICA,1,2,
13,"RETROCESO DE CONTADORES",LOGICA,1,1,
14,"RAM PARCIAL",LOGICA,1,1,
15,"EMITE PAGO CON ACTA",LOGICA,1,2,
16,"GENERA REPORTES ERRONEOS",LOGICA,1,2,
17,"AUDITORIA PENDIENTE",LOGICA,1,1,
18,"ERROR DE ANIMACION",LOGICA,1,3,
19,"TICKET SIN INFO",LOGICA,1,2,
20,"PROGRESIVO DESCONFIGURADO",LOGICA,1,3,
21,"PROTOCOLO ERROR",LOGICA,1,2,
22,"MDP DESCONECTADO",FISICA,1,3,
23,"ERROR DE IMPRESORA",FISICA,1,1,
24,"ERROR DE RODILLO",FISICA,1,1,
25,"BLACK PLANE",FISICA,1,1,
26,"PLACA DE VIDEO",FISICA,1,1,
27,"TOUCH DEL DECK",FISICA,1,2,
28,"SE APAGA",FISICA,1,1,
29,ACEPTADOR,FISICA,1,1,
30,"FALLA DE JUEGO ",FISICA,1,1,
31,BOTONERA,FISICA,1,3,
32,"ALIMENTACION DEL ACEPTADOR",FISICA,1,2,
33,FUENTE,FISICA,1,2,
34,DISPLAY,FISICA,1,2,
35,MONITOR,FISICA,1,1,
36,"CIERRE DE SEGURIDAD",FISICA,1,2,
37,"FALLA DE OPTICO",FISICA,1,2,
38,PROGRESIVO,FISICA,1,1,
39,MOTHERBOARD,FISICA,1,1,
40,"PULSADOR DE JUEGO",FISICA,1,2,
41,"CILINDRO NO GIRA",FISICA,1,1,
42,"STACKER ROTO",FISICA,1,2,
43,"NO INICIA",FISICA,1,1,
44,"CONTADORES MECANICOS",FISICA,1,3,
45,"FLEX TOUCH",FISICA,1,2,
46,"BATERIA BAJA",FISICA,1,2,
47,"PLACA DE ACEPTADOR",FISICA,1,1,
48,"NO IMPRIME",FISICA,1,2,
49,"MEMORIA CON ERROR",FISICA,1,1,
50,"PANTALLA COLORES ERRONEOS",FISICA,1,3,
51,"PUERTA PRINCIPAL ROTA",FISICA,1,2,
52,"CERRADURA ROTA",FISICA,1,2,
53,"CORREAS DE ACEPTADOR",FISICA,1,2,
54,"DISPOSITIVO DE AUDIO",FISICA,1,3,
55,"PANTALLA PRINCIPAL DAÑADA",FISICA,1,1,
56,"MONITOR SUPERIO - INV. CONFIGURACION",FISICA,1,2,
57,"SELECTOR DE JUEGOS",FISICA,1,1,
58,"FUENTE PRINCIPAL",FISICA,1,1,
59,"CABLE PLANO ROTO",FISICA,1,1,
60,"PLACA DE RODILLOS",FISICA,1,1,
61,"SENSOR DE BOLA",FISICA,1,1,
62,"PLACA PCI",FISICA,1,1,
63,"MOJADA POR GOTERA",FISICA,1,2,
64,"MODULO TILDA EL PLATO",FISICA,1,1,
65,SPC,FISICA,1,2,
66,"RODILLO DEFECTUOSO",FISICA,1,2,
67,"PRINTER DESCONECTADA",FISICA,1,2,
68,"MOTHERBOARD QUEMADO",FISICA,1,3,
69,"SWITCH LAN DAÑANDO",FISICA,1,2,13
