idMaquina,nro_egm,fabricante,modelo,p_pago,denom,juego,nro_serie,programa,credito,estado,img,ap_minima,ap_maxima,cant_lineas,tipo_juego
1,2401170,IGT,"IGT IGAME",92.5,0.25,"HOOT LOOT",1001701,G0003140/I0001285,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
2,2401171,IGT,"IGT IGAME",92.5,0.10,"WILD FOR DOLPHIN",1281643,G0001902/I0001453,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
3,2401172,IGT,"IGT IGAME",92.5,0.10,"PHONE TAG",1417104,G0001406/I000907,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
4,2401173,IGT,"IGT IGAME",92.4,0.10,CLEOPATRA,1170656,1094596,0.10|0.20,1,igt.jpg,NULL,NULL,NULL,NULL
5,2401174,IGT,"IGT IGAME",92.5,0.10,"PHARAOH'S FORTUNE",1102305,G0002038/I0001295,0.10|0.20,1,igt.jpg,NULL,NULL,NULL,NULL
6,2401175,IGT,"IGT IGAME",92.5,0.10,"STINKIN RICH",1001698,G0004825,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
7,2401181,IGT,"IGT IGAME",92.5,0.10,"PHARAOH'S FORTUNE",1170639,G0002038/I0001295,0.10|0.20,1,igt.jpg,NULL,NULL,NULL,NULL
8,2401182,IGT,"IGT IGAME",92.5,0.10,"DEEP POCKET",1001696,G000976/I0000736,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
9,2401186,IGT,"IGT IGAME",92.5,0.10,"STINKIN RICH",1001693,"G 0003000",0.10|0.20,1,igt.jpg,NULL,NULL,NULL,NULL
10,2401188,IGT,"IGT IGAME",92.4,0.10,CLEOPATRA,1392997,G0001134/I0000855,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
11,2401408,IGT,"IGT SLANT TOP",91.0,0.01,"MYSTICAL MERMAID",1124143,G0001900/I0001198,0.10|0.20|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
12,2401410,IGT,"IGT IGAME",90.0,0.01,CLEOPATRA,1118023,I0001191/G0001866,0.10|0.20|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
13,2401411,IGT,"IGT IGAME",90.0,0.01,CLEOPATRA,1116392,I0001191/G0001866,0.10|0.20|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
14,2401412,NOVOMATIC,"FV 623 CF D",94.2,0.10,"MULTI GAMINATOR 42",186005,V5.7-20,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
15,2401413,NOVOMATIC,"FV 623 CF D",92.1,0.10,"COBRA 4",186006,V5.8-15,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
16,2401414,NOVOMATIC,"FV 623 CF D",95.8,0.10,"MULTI GAMINATOR 42",186007,V5.7-20,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
17,2401415,NOVOMATIC,"FV 623 CF D",94.2,0.10,"MULTI GAMINATOR 42",186008,V5.7-20,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
18,2401416,NOVOMATIC,"FV 623 CF D",94.5,0.10,"MULTI GAMINATOR 42",186009,V5.7-20,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
19,2401417,NOVOMATIC,"FV 623 CF D",94.1,0.10,"MULTI GAMINATOR 42",186010,V5.7-20,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
20,2401418,NOVOMATIC,"FV 623 CF D",94.2,0.25,"MULTI GAMINATOR 42",186011,V5.7-20,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
21,2401419,NOVOMATIC,"FV 623 CF D",92.1,1.00,"MULTI GAMINATOR 42",186012,V5.7-20,1.00,1,igt.jpg,NULL,NULL,NULL,NULL
22,2401424,BALLY,"BALLY M9000-S3",92.4,0.01,"THE BLUES BROTHER",V051058942,M9000-S3,0.05|0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
23,2401425,BALLY,"BALLY M9000-S3",92.1,0.01,"OCEAN DREAM",V051058941,M9000-S3,0.05|0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
24,2401426,BALLY,"BALLY M9000-S3",92.5,0.01,"KONA GOLD",V051058938,M9000-S3,0.05|0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
25,2401427,BALLY,"BALLY M9000-S3",92.1,0.01,"HIDDEN RICHE",V050956650,M9000-S3,0.05|0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
26,2401428,WILLIAMS,BLUEBIRD,91.8,0.01,"FAIRY'S FORTUNE",W2116083,S529-000-1050,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
27,2401429,WILLIAMS,BLUEBIRD,91.9,0.01,"JEWELS OF AFRICA",W2116085,DDG8-000-1060C2,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
28,2401430,WILLIAMS,BLUEBIRD,91.9,0.01,GLITZ,W2116086,S947-000-1040,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
29,2401431,WILLIAMS,BLUEBIRD,91.8,0.01,"NEPTUNE'S KINGDOM II",W2116089,S853-000-1040B4,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
30,2401432,WILLIAMS,BLUEBIRD,92.0,0.01,"ALL THAT GLITTER",W2116091,S522-000-1000,0.05|0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
31,2401433,WILLIAMS,BLUEBIRD,91.9,0.01,BAMBOOZLED,W2116093,DD91-000-1050C2,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
32,2401434,WILLIAMS,BLUEBIRD,91.8,0.01,"GAME OF DRAGONS II",W2116095,S942-000-1040B7,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
33,2401435,WILLIAMS,BLUEBIRD,91.9,0.01,"SUMMER SOLSTICE",W2116147,D54F-000-1010C0,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
34,2401437,WILLIAMS,BLUEBIRD,91.9,0.01,"SUMMER SOLSTICE",W2116151,D54F-000-1010C0,0.10,0,igt.jpg,NULL,NULL,NULL,NULL
35,2401456,IGT,"IGT SLANT TOP",91.0,0.01,"PHARAOH'S FORTUNE",1036920,G0002038/I0001295,0.10|0.25|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
36,2401467,IGT,"IGT SLANT TOP",90.0,0.01,CLEOPATRA,1042534,G0001134/I0000855,0.10|0.25|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
37,2401474,NOVOMATIC,"FV 623 CF D",92.1,0.25,"MULTI GAMINATOR 42",235330,V5.7-20,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
38,2401475,NOVOMATIC,"FV 623 CF D",92.1,0.10,"MULTI GAMINATOR 42",235331,V5.7-20,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
39,2401476,NOVOMATIC,"FV 623 CF D",94.2,0.10,"MULTI GAMINATOR 42",235336,V5.7-20,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
40,2401477,NOVOMATIC,"FV 623 CF D",94.2,0.10,"MULTI GAMINATOR 42",235337,V5.7-20,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
41,2401478,NOVOMATIC,"FV 623 CF D",94.4,0.10,"DIAMOND TRIO",235332,V5.7-0,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
42,2401479,NOVOMATIC,"FV 623 CF D",93.9,0.10,"FIRST CLASS TRAVELER",235333,V5.7-16,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
43,2401480,NOVOMATIC,"FV 623 CF D",94.2,0.10,"GRYPHON S GOLD",235334,V5.7-0,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
44,2401481,NOVOMATIC,"FV 623 CF D",94.2,1.00,"MULTI GAMINATOR 42",235335,V5.7-20,1.00,1,igt.jpg,NULL,NULL,NULL,NULL
45,2401495,IGT,"IGT IGAME",91.4,0.01,"THE GAMBLER",1150019,G0002191/I0001354,0.05,1,igt.jpg,NULL,NULL,NULL,NULL
46,2401501,IGT,"IGT IGAME",92.5,0.25,"AZTEC TEMPLE",1406302,GK000740,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
47,2401502,IGT,"IGT IGAME",92.5,0.10,"LION DANCE",1406304,"GK002092 / GKB00025",0.10,1,igt.jpg,NULL,NULL,NULL,NULL
48,2401504,IGT,"IGT IGAME",93.0,0.10,CATS,1406307,GE011001EN20001/AE011-031,0.10|0.20,1,igt.jpg,NULL,NULL,NULL,NULL
49,2401505,IGT,"IGT IGAME",92.5,0.01,"AZTEC TEMPLE",1406308,GK000740,0.25|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
50,2401506,IGT,"IGT IGAME",92.5,0.01,"CLEOPATRA II",1406309,GK000731,0.25|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
51,2401507,IGT,"IGT IGAME",92.5,0.01,"DAVINCI DIAMOND",1406312,GK001875,0.25|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
52,2401508,IGT,"IGT IGAME",92.0,0.10,NEFERTITI,1406313,GK002226,0.10|0.20,1,igt.jpg,NULL,NULL,NULL,NULL
53,2401525,WILLIAMS,BLUEBIRD,92.0,0.01,"REELS O DUBLIN",W2177543,S698-000-1060B3,0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
54,2401527,WILLIAMS,BLUEBIRD,91.9,0.01,"GOLDEN CHARIOT",W2177545,S700-000-1070B3,0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
55,2401528,WILLIAMS,BLUEBIRD,92.0,0.01,"TREASURE DIVER",W2178579,S801-000-1010B4,0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
56,2401529,WILLIAMS,BLUEBIRD,92.0,0.01,"THAI TREASURE",W2178580,S802-000-1010B4,0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
57,2401530,WILLIAMS,BLUEBIRD,91.8,0.01,"NEPTUNE'S KINGDOM II",W2178581,S853-000-1030B4,0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
58,2401531,WILLIAMS,BLUEBIRD,91.9,0.01,GUSHER,W2178582,S771-000-1000B4,0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
59,2401532,WILLIAMS,BLUEBIRD,91.8,0.01,"RIVER BELLE",W2178583,S715-000-1020B4,0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
60,2401533,WILLIAMS,BLUEBIRD,92.2,0.01,ZEUS,W2178584,SA31-000-1000B8,0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
61,2401534,NOVOMATIC,"FV 801 CF 2",92.1,0.10,SUPER-V+GAMINATOR,319172,V_8.0-1,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
62,2401535,NOVOMATIC,"FV 801 CF 2",92.1,0.10,"SUPER-V+GAMINATOR 75",319173,V8.20-10,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
63,2401536,NOVOMATIC,"FV 801 CF 2",93.0,0.10,SUPER-V+GAMINATOR,319174,V_8.0-1,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
64,2401537,NOVOMATIC,"FV 801 CF 2",92.8,0.10,SUPER-V+GAMINATOR,319175,V_8.0-1,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
65,2401538,NOVOMATIC,"FV 801 CF 2",92.9,0.10,SUPER-V+GAMINATOR,319176,V_8.0-1,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
66,2401539,NOVOMATIC,"FV 801 CF 2",92.1,0.10,SUPER-V+GAMINATOR,319177,V_8.0-1,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
67,2401540,NOVOMATIC,"FV 801 CF 2",92.1,0.10,SUPER-V+GAMINATOR,319178,V_8.0-1,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
68,2401541,NOVOMATIC,"FV 801 CF 2",92.3,0.10,SUPER-V+GAMINATOR,319179,V_8.0-1,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
69,2401542,NOVOMATIC,"FV 801 CF 2",92.8,0.10,SUPER-V+GAMINATOR,319180,V_8.0-1,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
70,2401543,NOVOMATIC,"FV 801 CF 2",92.9,0.10,SUPER-V+GAMINATOR,319181,V_8.0-1,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
71,2401576,IGT,"IGT IGAME",91.0,0.10,"CLEOPATRA II",1163793,GK000731,0.10|0.20|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
72,2401579,IGT,"IGT IGAME",91.0,0.01,"CLEOPATRA II",1163795,GK000731,0.10|0.20|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
73,2401591,IGT,"IGT IGAME",92.5,0.05,"RUSSIAN TREASURE",1147581,GK0000252,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
74,2401605,WILLIAMS,BLUEBIRD,92.0,0.01,"INVADERS FROM THE PLANET MOOLAH",W2200940,S854-000-1010,0.10|0.25|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
75,2401606,WILLIAMS,BLUEBIRD,91.9,0.01,"JUNGLE WILD II",W2200942,"SB 19-000-1020",0.10|0.25|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
76,2401607,WILLIAMS,BLUEBIRD,92.0,0.01,"TREASURE DIVER",W2200944,S801-000-1010B4,0.10|0.25|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
77,2401608,WILLIAMS,BLUEBIRD,91.9,0.01,"RUNNING WILD",W2200946,S882-000-1030B2,0.10|0.25|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
78,2401609,WILLIAMS,BLUEBIRD,91.9,0.01,GLITZ,W2200941,S947-000-1040,0.10|0.25|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
79,2401610,WILLIAMS,BLUEBIRD,92.0,0.01,"CRYSTAL FOREST",W2200943,S855-000-1010,0.10|0.25|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
80,2401611,WILLIAMS,BLUEBIRD,91.8,0.01,"NEPTUNE'S KINGDOM II",W2200945,S853-000-1030B4,0.10|0.25|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
81,2401612,WILLIAMS,BLUEBIRD,92.0,0.01,"THAI TREASURE",W2200947,S802-000-1010B4,0.10|0.25|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
82,2401614,WILLIAMS,BLUEBIRD,92.0,0.01,"HEARTS OF VENICE",W2200967,SA08-000-1030C0,0.10|0.50|1.00,0,igt.jpg,NULL,NULL,NULL,NULL
83,2401615,WILLIAMS,BLUEBIRD,92.0,0.01,"HEARTS OF VENICE",W2200968,SA08-000-1030C0,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
84,2401616,WILLIAMS,BLUEBIRD,91.9,0.01,"ZEUS II",W2200970,SA02-000-1030C0,0.10|0.20,1,igt.jpg,NULL,NULL,NULL,NULL
85,2401617,WILLIAMS,BLUEBIRD,92.1,0.01,"BLUE LAGOON",W2200971,S617-000-1040,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
86,2401618,WILLIAMS,BLUEBIRD,92.1,0.01,"BLUE LAGOON",W2200972,S617-000-1040,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
87,2401619,WILLIAMS,BLUEBIRD,92.1,0.01,"EMERALD EYE",W2200973,S694-000-1060,0.10|0.20|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
88,2401620,WILLIAMS,BLUEBIRD,92.1,0.01,"KING OF AFRICA",W2200976,S616-000-1040,0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
89,2401621,WILLIAMS,BLUEBIRD,92.1,0.01,"GEM HUNTER",W2200978,S615-000-1050,0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
90,2401633,WILLIAMS,BLUEBIRD,92.0,0.01,"GOLDEN EMPEROR",W2201023,DC83-000-1040C0,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
91,2401640,WILLIAMS,BLUEBIRD,92.1,0.01,"GREAT WALL",W2200999,S632-000-1030B2,0.50|1.00|2.00,1,igt.jpg,NULL,NULL,NULL,NULL
92,2401644,WILLIAMS,BLUEBIRD,92.0,0.01,"OPEN THE VAULT",W2200930,S598-000-1040,0.10|0.25|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
93,2401645,WILLIAMS,BLUEBIRD,91.9,0.01,"WIZARD SPINS",W2200932,D54E-000-1010C0,0.10|0.25|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
94,2401646,WILLIAMS,BLUEBIRD,92.0,0.01,SABERTOOTH,W2200934,DC84-000-1030C0,0.10|0.25|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
95,2401647,WILLIAMS,BLUEBIRD,92.0,0.01,"OPEN THE VAULT",W2200936,S598-000-1040,0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
96,2401648,WILLIAMS,BLUEBIRD,92.0,0.01,"CRYSTAL FOREST",W2200938,S855-000-1010,0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
97,2401649,WILLIAMS,BLUEBIRD,91.9,0.01,GLITZ,W2200931,S947-000-1040,0.25,1,igt.jpg,NULL,NULL,NULL,NULL
98,2401650,WILLIAMS,BLUEBIRD,91.9,0.01,"GORILLA CHIEF",W2200933,DD82-000-1020D0,0.10|0.25|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
99,2401651,WILLIAMS,BLUEBIRD,92.0,0.01,"FORTUNES OF THE CARIBBEAN",W2200935,DD46-000-1030C0,0.10|0.25|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
100,2401652,WILLIAMS,BLUEBIRD,90.3,0.01,"OPEN THE VAULT",W2200937,S598-000-1040,0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
101,2401653,WILLIAMS,BLUEBIRD,92.2,0.01,ZEUS,W2200939,S712-000-1030B4,0.10|0.25|0.50,1,igt.jpg,NULL,NULL,NULL,NULL
102,2401654,WILLIAMS,BLUEBIRD,92.0,0.01,"POLYNESIAN PRINCE",W2200948,S966-000-1000,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
103,2401655,WILLIAMS,BLUEBIRD,92.0,0.01,"JEWEL OF ISI",W2200951,S968-000-1010,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
104,2401656,WILLIAMS,BLUEBIRD,92.0,0.01,"MYSTICAL LOTU",W2200953,S970-000-1000,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
105,2401657,WILLIAMS,BLUEBIRD,92.0,0.01,"POLYNESIAN PRINCE",W2200949,S966-000-1000,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
106,2401658,WILLIAMS,BLUEBIRD,92.0,0.01,"JEWEL OF ISI",W2200952,S968-000-1010,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
107,2401659,WILLIAMS,BLUEBIRD,92.0,0.01,"MYSTICAL LOTU",W2200954,S970-000-1000,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
108,2401660,WILLIAMS,BLUEBIRD,92.0,0.01,"POLYNESIAN PRINCE",W2200950,S966-000-1000,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
109,2401661,WILLIAMS,BLUEBIRD,92.0,0.01,"MYSTICAL LOTU",W2200955,S970-000-1000,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
110,2401666,WILLIAMS,BLUEBIRD,91.9,0.01,GLITZ,W2200987,S947-000-1040,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
111,2401671,WILLIAMS,BLUEBIRD,92.0,0.01,"STAR TREK",W2200920,SA66-000-1062,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
112,2401672,WILLIAMS,BLUEBIRD,92.1,0.01,"TIME MACHINE",W2200918,SC22-000-1000,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
113,2401673,WILLIAMS,BLUEBIRD,92.0,0.01,"STAR TREK",W2200921,SA66-000-1062,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
114,2401674,WILLIAMS,BLUEBIRD,92.1,0.01,"TIME MACHINE",W2200919,SC22-000-1000,0.10,1,igt.jpg,NULL,NULL,NULL,NULL
115,2401675,WILLIAMS,BLUEBIRD,92.0,0.01,"GOLDEN EMPEROR",W2200997,DC83-000-1040C0,0.25|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
116,2401716,WILLIAMS,BLUEBIRD,91.8,0.01,"GAME OF DRAGONS II",W2201020,S942-000-1020B7,0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
117,2401717,WILLIAMS,BLUEBIRD,92.1,0.01,"JUNGLE WILD",W2201022,S759-000-1050B2,0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
118,2401718,WILLIAMS,BLUEBIRD,93.0,0.01,SABERTOOTH,W2201026,DC84-000-1030C0,0.05|0.10,1,igt.jpg,NULL,NULL,NULL,NULL
119,2401719,WILLIAMS,BLUEBIRD,92.2,0.01,ZEUS,W2201028,S712-000-1050B4,0.10|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
120,2401720,WILLIAMS,BLUEBIRD,92.0,0.01,"THAI TREASURE",W2201034,S802-000-1010B4,0.25|0.50|1.00,1,igt.jpg,NULL,NULL,NULL,NULL
